IDENT_PSN,FAMNO_PSN,IUNO_PSN,PERSON_NUMBER,PERS_WT
01022016,1,01,01,03255428
01022016,2,01,01,03233823
01022016,3,01,01,03587187
01022016,4,01,01,03455328
01022649,1,01,01,02964666
01030554,1,01,01,04074074
01030554,1,01,02,03574390
01038688,1,01,01,01308363
01038688,1,01,02,01305283
01038688,1,01,03,00988095
01039070,1,01,01,03310170
01039070,1,01,02,02796746
01040467,1,01,01,03091162
01040467,1,02,01,02532307
01040467,1,03,01,04121304
01040467,1,04,01,02660294
01040467,1,05,01,02660294
01040467,1,06,01,02660294
01041679,1,01,01,01367647
01042312,1,01,01,06167428
01055630,1,01,01,04967000
01055630,1,01,02,05484814
01057285,1,01,01,02319629
01057285,1,01,02,02458653
01067083,1,01,01,04760181
01075997,1,01,01,05614111
01075997,1,01,02,05374044
01075997,1,01,03,04928611
01075997,1,01,04,06748800
01080620,1,01,01,04343740
01080620,1,01,02,04246231
01105906,1,01,01,02062209
01110388,1,01,01,03420337
01110388,1,01,02,03319047
01115762,1,01,01,04437675
01134819,1,01,01,01751923
01134819,1,01,02,01721290
01137361,1,01,01,02271470
01147931,1,01,01,04440975
01152902,1,01,01,04967000
01152902,1,01,02,05484814
01165139,1,01,01,03455328
01165139,1,01,02,03474859
01196394,1,01,01,02185851
01198432,1,01,01,01202051
01198432,1,01,02,01327027
01204616,1,01,01,03719245
01205079,1,01,01,03110340
01205079,1,02,01,02977000
01215314,1,01,01,04909666
01215314,1,01,02,04289393
01215314,1,02,01,05148421
01215314,1,03,01,04471855
01222579,1,01,01,02084159
01222579,1,01,02,02109485
01222579,1,01,03,02460000
01222579,1,01,04,01525090
01226173,1,01,01,05440240
01226173,1,01,02,05305515
01226173,1,01,03,05774090
01231191,1,01,01,04670722
01231191,1,01,02,04823896
01231324,1,01,01,03207023
01231324,1,01,02,03091162
01250591,1,01,01,01174347
01250591,1,01,02,01059649
01250591,1,01,03,00988095
01250591,1,02,01,01524242
01250591,1,03,01,01405000
01250591,1,04,01,01670769
01250591,1,05,01,01530615
01250591,2,01,01,01666153
01265303,1,01,01,02292333
01276986,1,01,01,02127564
01276986,1,01,02,02316730
01281858,1,01,01,03860638
01285130,1,01,01,02386250
01285130,1,01,03,02190000
01285130,1,02,01,01566923
01290880,1,01,01,04507740
01290880,2,01,01,04821811
01291998,1,01,01,05440240
01291998,1,01,02,05305515
01291998,1,02,01,04237794
01291998,2,01,01,04347368
01296091,1,01,01,02923513
01296091,1,01,02,02548571
01303592,1,01,01,01281875
01313471,1,01,01,01991494
01313471,1,01,02,02121176
01324730,1,01,01,02422820
01324730,1,01,02,02077073
01324730,1,01,03,01808823
01324730,1,02,01,01774117
01324730,1,03,01,02160769
01327003,1,01,01,04317424
01327003,1,01,02,05136071
01338582,1,01,01,04471855
01338582,1,01,02,03637083
01338582,1,02,01,06349250
01350975,1,01,01,05309909
01350975,1,01,02,05422376
01350975,1,02,01,07186400
01350975,1,03,01,05023437
01352990,1,01,01,02129090
01352990,1,01,02,02369708
01352990,1,02,01,02157000
01361713,1,01,01,04466896
01361713,1,01,03,05419574
01361713,1,01,04,05332608
01361713,1,01,05,04390000
01368531,1,01,01,04020000
