,Gross domestic product: Chain volume measures - Percentage changes ;,GDP per capita: Chain volume measures - Percentage changes ;,Gross value added market sector: Chain volume measures - Percentage changes ;,Net domestic product: Chain volume measures - Percentage changes ;,Real gross domestic income: Chain volume measures - Percentage changes ;,Real gross national income: Chain volume measures - Percentage changes ;,Real net national disposable income: Chain volume measures - Percentage changes ;,Real net national disposable income per capita: Chain volume measures - Percentage changes ;,Gross domestic product: Current prices - Percentage Changes ;,Hours worked: Index - Percentage changes ;,Hours worked market sector: Index - Percentage changes ;,GDP per hour worked: Index - Percentage changes ;,Gross value added per hour worked market sector: Index - Percentage changes ;,Real unit of labour costs: Index - Percentage changes ;,Real unit of labour costs - Non-farm: Index - Percentage changes ;,Terms of trade: Index - Percentage changes ;,Gross domestic product: Chain volume measures ;,GDP per capita: Chain volume measures ;,Gross value added market sector: Chain volume measures ;,Net domestic product: Chain volume measures ;,Real gross domestic income: Chain volume measures ;,Real gross national income: Chain volume measures ;,Real net national disposable income: Chain volume measures ;,Real net national disposable income per capita: Chain volume measures ;,Gross domestic product: Current prices ;,GDP per capita: Current prices ;,Gross national income: Current prices ;,Net saving: Current prices ;,Household saving ratio: Ratio ;,Hours worked: Index ;,Hours worked market sector: Index ;,GDP per hour worked: Index ;,Gross value added per hour worked market sector: Index ;,Real unit of labour costs: Index ;,Real unit of labour costs - Non-farm: Index ;,Terms of trade: Index ;,Gross domestic product: Chain volume measures - Percentage changes ;,GDP per capita: Chain volume measures - Percentage changes ;,Gross value added market sector: Chain volume measures - Percentage changes ;,Net domestic product: Chain volume measures - Percentage changes ;,Real gross domestic income: Chain volume measures - Percentage changes ;,Real gross national income: Chain volume measures - Percentage changes ;,Real net national disposable income: Chain volume measures - Percentage changes ;,Real net national disposable income per capita: Chain volume measures - Percentage changes ;,Gross domestic product: Current prices - Percentage Changes ;,Hours worked: Index - Percentage changes ;,Hours worked market sector: Index - Percentage changes ;,GDP per hour worked: Index - Percentage changes ;,Gross value added per hour worked market sector: Index - Percentage changes ;,Gross domestic product: Index - Percentage changes ;,Domestic final demand: Index - Percentage changes ;,Terms of trade: Index - Percentage changes ;,Gross domestic product: Chain volume measures ;,GDP per capita: Chain volume measures ;,Gross value added market sector: Chain volume measures ;,Net domestic product: Chain volume measures ;,Real gross domestic income: Chain volume measures ;,Real gross national income: Chain volume measures ;,Real net national disposable income: Chain volume measures ;,Real net national disposable income per capita: Chain volume measures ;,Gross domestic product: Current prices ;,GDP per capita: Current prices ;,Gross national income: Current prices ;,Net saving: Current prices ;,Household saving ratio: Ratio ;,Hours worked: Index ;,Hours worked market sector: Index ;,GDP per hour worked: Index ;,Gross value added per hour worked market sector: Index ;,Gross domestic product: Index ;,Domestic final demand: Index ;,Terms of trade: Index ;,Gross domestic product: Chain volume measures - Percentage changes ;,GDP per capita: Chain volume measures - Percentage changes ;,Gross value added market sector: Chain volume measures - Percentage changes ;,Net domestic product: Chain volume measures - Percentage changes ;,Real gross domestic income: Chain volume measures - Percentage changes ;,Real gross national income: Chain volume measures - Percentage changes ;,Real net national disposable income: Chain volume measures - Percentage changes ;,Real net national disposable income per capita: Chain volume measures - Percentage changes ;,Gross domestic product: Current prices - Percentage Changes ;,Hours worked: Index - Percentage changes ;,Hours worked market sector: Index - Percentage changes ;,GDP per hour worked: Index - Percentage changes ;,Gross value added per hour worked market sector: Index - Percentage changes ;,Gross domestic product: Index - Percentage changes ;,Domestic final demand: Index - Percentage changes ;,Terms of trade: Index - Percentage changes ;,Gross domestic product: Chain volume measures ;,GDP per capita: Chain volume measures ;,Gross value added market sector: Chain volume measures ;,Net domestic product: Chain volume measures ;,Real gross domestic income: Chain volume measures ;,Real gross national income: Chain volume measures ;,Real net national disposable income: Chain volume measures ;,Real net national disposable income per capita: Chain volume measures ;,Gross domestic product: Current prices ;,GDP per capita: Current prices ;,Gross national income: Current prices ;,Net saving: Current prices ;,Household saving ratio: Ratio ;,Hours worked: Index ;,Hours worked market sector: Index ;,GDP per hour worked: Index ;,Gross value added per hour worked market sector: Index ;,Gross domestic product: Index ;,Domestic final demand: Index ;,Terms of trade: Index ;
Dec-1992,1.4,1.1,,1.5,1.1,1.4,1.5,1.3,1.7,0.3,0.3,1.1,,-0.4,-1.5,-0.8,189586,10780,,167933,165375,160571,138091,7852,110255,6269,107506,3923,6.5,71.2,73.7,75.9,,111.5,109.9,50.3,1.9,1.6,,2.1,1.7,2.4,2.7,2.5,2.0,0.0,0.0,1.9,,0.4,0.6,-1.4,190019,10805,,168396,165620,161168,138729,7888,110269,6270,108548,5109,6.4,71.1,73.5,76.2,,58.2,66.4,49.7,7.2,6.9,,8.4,6.9,7.6,8.9,8.7,7.8,0.2,0.7,6.9,,0.4,0.6,-1.6,199036,11321,,177975,173452,168888,146792,8349,115973,6596,113237,6260,7.2,71.2,73.7,79.7,,58.2,66.4,49.6
Mar-1993,1.0,0.8,,1.0,0.8,1.0,1.1,0.8,1.5,0.4,0.3,0.6,,0.0,-0.4,-1.3,191508,10863,,169685,166702,162225,139556,7916,111936,6349,109270,4657,6.3,71.4,73.9,76.4,,111.5,109.4,49.7,1.0,0.7,,1.0,1.0,0.9,0.9,0.7,1.9,1.0,1.1,0.0,,1.0,0.9,0.3,191833,10880,,170032,167280,162663,139993,7940,112342,6372,108456,3796,6.2,71.8,74.3,76.2,,58.8,67.0,49.8,-6.9,-7.2,,-8.3,-6.8,-7.0,-8.7,-9.0,-6.4,-1.8,-2.0,-5.2,,1.0,0.9,0.3,185375,10510,,163173,161624,157013,134015,7598,108581,6156,105783,3856,7.7,69.9,72.2,75.5,,58.8,67.0,49.8
Jun-1993,0.6,0.3,,0.5,0.3,0.4,0.3,0.1,0.9,0.4,0.3,0.2,,-1.4,-1.2,-1.9,192618,10900,,170565,167253,162880,140009,7923,112976,6393,110450,4925,5.6,71.7,74.1,76.5,,110.0,108.1,48.8,0.6,0.4,,0.5,0.1,0.3,0.2,0.0,0.9,0.0,-0.2,0.6,,-0.1,0.4,-2.9,192946,10920,,170909,167397,163162,140261,7938,113319,6413,111202,5341,5.8,71.8,74.2,76.6,,58.8,67.3,48.3,3.1,2.9,,3.6,2.6,2.8,3.3,3.2,3.5,2.8,2.7,0.3,,-0.1,0.4,-2.8,191116,10818,,168966,165823,161486,138475,7838,112352,6359,109959,4901,2.8,71.9,74.2,75.8,,58.8,67.3,48.4
Sep-1993,0.7,0.5,,0.7,0.5,0.6,0.6,0.3,0.9,0.5,0.4,0.2,,0.1,1.0,-1.2,194027,10952,,171758,168150,163873,140808,7948,113998,6435,111785,5221,5.1,72.1,74.4,76.6,,110.1,109.2,48.2,0.0,-0.3,,-0.2,-0.1,-0.3,-0.5,-0.7,-0.1,0.2,-0.3,-0.2,,0.1,0.3,-0.7,192941,10891,,170601,167164,162673,139624,7881,113160,6387,111336,5385,5.1,71.9,74.0,76.4,,58.9,67.4,48.0,0.3,0.0,,0.2,0.2,0.2,0.3,0.0,0.5,-0.7,-1.6,1.0,,0.1,0.3,-0.4,191680,10819,,169264,166145,161826,138850,7837,112946,6375,110808,4300,6.2,71.4,73.0,76.5,,58.9,67.4,48.2
Dec-1993,1.3,1.0,,1.4,1.3,1.3,1.3,1.1,1.4,0.7,0.7,0.6,,0.3,-0.5,-0.3,196561,11067,,174141,170259,165928,142673,8033,115594,6508,113610,5930,5.4,72.6,74.9,77.1,,110.5,108.6,48.1,1.9,1.7,,2.2,1.9,2.0,2.2,1.9,2.3,1.5,1.9,0.4,,0.3,0.4,-0.4,196682,11073,,174273,170285,165908,142638,8031,115734,6516,113043,4977,4.7,73.0,75.4,76.8,,59.0,67.7,47.8,7.9,7.7,,9.3,7.8,7.9,9.3,9.0,8.1,1.7,2.8,6.1,,0.3,0.4,-0.6,206821,11647,,185062,179067,174578,151694,8543,122142,6878,118398,6696,6.2,72.6,75.0,81.2,,59.0,67.7,47.9
Mar-1994,1.6,1.3,,1.7,1.6,1.4,1.4,1.2,1.9,1.1,1.4,0.5,,-0.3,-0.2,0.0,199730,11216,,177185,173050,168233,144728,8127,117759,6613,115330,6298,6.2,73.4,76.0,77.5,,110.2,108.4,48.0,1.8,1.5,,2.0,2.0,2.2,2.4,2.1,2.0,0.4,0.5,1.4,,0.2,-0.1,1.2,200208,11242,,177696,173687,169533,146073,8202,118092,6631,116351,7239,6.4,73.3,75.8,77.8,,59.2,67.7,48.4,-6.6,-6.9,,-8.0,-6.4,-6.4,-7.9,-8.2,-6.7,0.3,0.3,-6.8,,0.2,-0.1,1.0,193227,10847,,170268,167568,163487,139703,7842,113968,6398,112965,6336,6.6,72.8,75.3,75.7,,59.2,67.7,48.4
Jun-1994,1.4,1.1,,1.4,1.4,1.1,1.1,0.8,1.8,1.2,1.7,0.2,,-0.2,-0.1,0.6,202431,11337,,179717,175539,170122,146344,8196,119857,6712,116800,6315,6.5,74.3,77.2,77.6,,109.9,108.3,48.3,1.0,0.8,,1.0,0.9,-0.2,-0.4,-0.7,1.2,1.2,1.7,-0.2,,0.2,0.3,-0.3,202263,11329,,179535,175327,169215,145432,8146,119561,6697,116483,6464,7.5,74.2,77.1,77.6,,59.3,67.9,48.3,3.7,3.5,,4.3,3.6,2.4,2.7,2.5,3.9,1.7,1.7,2.0,,0.2,0.3,-0.3,200366,11224,,177511,173683,167438,143520,8040,118438,6634,114995,5821,5.7,74.0,76.6,77.2,,59.3,67.9,48.2
Sep-1994,0.8,0.5,,0.8,1.1,0.7,0.7,0.4,1.4,1.0,1.5,-0.2,,-0.3,0.4,1.7,204076,11398,139344,181119,177386,171324,147297,8227,121503,6786,117842,6002,6.3,75.1,78.4,77.4,71.5,109.6,108.7,49.2,1.0,0.7,,1.0,1.1,1.2,1.2,0.9,1.9,1.7,2.5,-0.7,,0.3,0.3,0.6,204359,11411,139477,181417,177300,171329,147213,8220,121842,6803,117590,5143,5.2,75.5,79.0,77.1,71.0,59.5,68.1,48.6,1.6,1.3,,2.0,1.9,2.2,2.5,2.2,2.9,1.3,1.9,0.4,,0.3,0.3,0.4,203622,11369,140571,181062,177009,171102,147092,8213,121890,6806,117403,4703,5.9,74.9,78.0,77.4,72.4,59.5,68.1,48.4
Dec-1994,0.5,0.2,0.3,0.4,0.8,0.7,0.7,0.4,1.2,1.0,1.2,-0.5,-0.9,-0.3,-1.3,1.9,205145,11426,139812,181901,178827,172530,148266,8258,123003,6851,118931,5376,5.5,75.8,79.4,77.1,70.8,109.3,107.3,50.1,0.4,0.1,0.6,0.3,1.0,1.1,1.3,1.0,0.9,0.3,0.2,0.1,0.4,0.8,0.3,3.6,205135,11426,140317,181894,179109,173262,149104,8305,122910,6846,119235,6022,5.8,75.7,79.2,77.2,71.2,59.9,68.3,50.3,5.4,5.2,4.3,6.1,5.9,6.0,7.1,6.9,6.1,0.0,0.4,5.4,3.9,0.8,0.3,3.6,214698,11962,146609,192097,187509,181364,157570,8779,129357,7207,124774,7735,7.0,74.9,78.3,81.6,75.2,59.9,68.3,50.2
Mar-1995,0.7,0.3,0.6,0.6,0.8,0.9,0.9,0.6,1.3,1.0,0.9,-0.3,-0.3,0.3,-0.3,0.8,206481,11466,140668,182953,180300,174142,149660,8311,124635,6921,120561,5211,5.1,76.6,80.0,76.8,70.6,109.6,106.9,50.5,0.5,0.2,-0.4,0.4,0.7,0.0,-0.3,-0.6,1.3,0.8,0.9,-0.3,-1.3,0.9,0.6,0.5,206227,11454,139693,182687,180280,173214,148699,8259,124498,6914,120424,5421,5.6,76.3,79.9,77.0,70.3,60.4,68.7,50.6,-7.4,-7.7,-8.2,-9.1,-7.4,-8.0,-9.9,-10.2,-7.5,1.8,2.2,-9.0,-10.2,0.9,0.6,0.2,198891,11043,134581,174674,173636,166864,142018,7885,119663,6644,116510,4245,5.4,76.3,80.1,74.3,67.6,60.4,68.7,50.3
Jun-1995,0.9,0.6,1.1,0.9,0.9,0.9,0.9,0.6,1.6,0.9,0.6,-0.1,0.5,0.2,1.1,-0.4,208311,11529,142213,184519,181908,175749,151037,8359,126623,7008,122467,5276,5.0,77.3,80.5,76.8,71.0,109.8,108.1,50.3,0.8,0.5,1.8,0.8,0.6,1.6,1.7,1.4,1.7,1.7,1.3,-0.8,0.5,0.6,1.1,-1.3,207976,11509,142270,184159,181396,176019,151257,8370,126567,7004,122128,4060,4.1,77.6,80.9,76.3,70.7,60.8,69.5,49.9,3.8,3.5,4.0,4.4,3.6,4.6,5.3,5.0,4.9,1.1,0.0,2.7,4.0,0.6,1.1,-0.8,206487,11428,139995,182324,179931,174495,149593,8279,125514,6946,120850,3346,1.9,77.1,80.1,76.3,70.3,60.8,69.5,49.9
Sep-1995,1.2,0.8,1.6,1.2,1.2,1.1,1.1,0.7,1.9,0.7,0.4,0.4,1.2,0.0,1.0,-0.2,210769,11624,144512,186747,184087,177596,152660,8419,129000,7115,124571,5491,5.4,77.8,80.9,77.1,71.8,109.9,109.1,50.1,1.7,1.3,1.8,1.8,1.8,1.3,1.4,1.1,2.0,0.4,-0.1,1.3,1.9,0.5,0.4,0.5,211435,11662,144784,187450,184640,178257,153403,8461,129050,7118,125150,6888,6.1,77.9,80.9,77.3,72.0,61.1,69.7,50.1,1.7,1.4,3.2,1.9,1.9,1.4,1.7,1.3,2.3,-0.1,-0.6,1.8,3.9,0.5,0.4,0.4,210035,11584,144476,185870,183272,176937,152133,8391,128350,7079,124310,5891,6.4,77.0,79.5,77.7,73.0,61.1,69.7,50.1
Dec-1995,1.1,0.8,1.4,1.2,1.4,1.3,1.4,1.0,1.9,0.3,0.1,0.9,1.3,0.3,-0.5,1.1,213179,11718,146505,188917,186611,179881,154738,8505,131398,7222,126931,6074,6.0,78.1,80.9,77.8,72.8,110.2,108.6,50.7,0.5,0.1,1.2,0.4,0.7,0.3,0.1,-0.2,1.8,0.0,-0.1,0.5,1.3,0.7,0.4,1.2,212494,11677,146584,188194,185995,178849,153633,8443,131396,7221,126500,5339,6.2,78.0,80.8,77.7,72.9,61.6,70.0,50.7,7.3,6.9,7.9,8.6,7.5,7.1,8.3,7.9,8.6,0.9,1.1,6.4,6.8,0.7,0.4,1.2,225337,12386,155948,201811,197093,189507,164725,9054,139424,7664,133282,7772,8.3,77.7,80.4,82.6,78.0,61.6,70.0,50.7
Mar-1996,1.0,0.7,0.9,1.0,1.3,1.4,1.4,1.1,1.6,0.0,0.0,1.0,0.8,0.3,0.0,1.6,215273,11795,147810,190736,189063,182312,156923,8598,133522,7316,129081,6612,6.5,78.1,81.0,78.6,73.4,110.5,108.6,51.5,1.7,1.4,1.0,1.8,2.0,2.1,2.3,2.0,1.7,0.4,0.5,1.3,0.5,0.7,0.3,1.5,216121,11843,148077,191640,189736,182552,157206,8615,133572,7320,128956,6471,6.3,78.3,81.2,78.7,73.3,62.0,70.2,51.5,-7.9,-8.2,-8.8,-9.5,-7.5,-7.3,-9.0,-9.3,-7.8,0.3,0.6,-8.2,-9.3,0.7,0.3,2.2,207578,11372,142298,182622,182407,175593,149928,8213,128498,7039,124658,5400,6.1,77.9,80.9,75.9,70.7,62.0,70.2,51.8
Jun-1996,1.0,0.6,0.9,0.9,1.2,1.4,1.5,1.2,1.3,0.0,0.1,1.0,0.9,-0.5,-0.2,1.5,217329,11870,149190,192501,191362,184907,159249,8698,135235,7386,130819,7198,6.7,78.0,81.0,79.3,74.0,110.0,108.4,52.3,0.2,-0.1,0.3,0.0,0.6,1.6,1.7,1.4,1.3,-0.3,-0.2,0.5,0.5,0.7,0.3,2.0,216543,11827,148506,191665,190879,185533,159876,8732,135334,7391,131636,7770,6.6,78.1,81.0,79.0,73.7,62.4,70.4,52.5,2.9,2.6,2.1,3.3,3.3,4.3,4.9,4.6,3.8,-0.7,-1.0,3.7,3.1,0.7,0.3,1.9,213641,11670,145229,188645,188479,183155,157332,8594,133434,7288,128959,5639,3.0,77.4,80.1,78.7,72.9,62.4,70.4,52.8
Sep-1996,0.8,0.5,0.9,0.7,0.9,1.0,1.0,0.7,0.9,0.0,0.0,0.8,0.9,-0.2,0.1,0.0,218997,11924,150595,193849,193055,186803,160837,8757,136434,7429,132057,7748,6.8,78.0,81.0,79.9,74.7,109.8,108.5,52.3,1.3,1.0,1.6,1.4,1.3,0.4,0.3,0.0,0.9,0.0,0.1,1.3,1.5,0.0,0.0,0.2,219459,11949,150890,194332,193435,186328,160343,8730,136514,7433,131523,7291,6.8,78.1,81.2,80.1,74.8,62.4,70.5,52.6,1.6,1.2,2.9,1.6,1.5,0.6,0.6,0.3,1.8,-0.3,-0.2,1.8,3.1,0.0,0.0,-0.3,216985,11814,149478,191715,191275,184179,158263,8617,135804,7394,130629,6256,7.3,77.2,80.0,80.1,75.1,62.4,70.5,52.7
Dec-1996,0.8,0.5,0.9,0.8,0.9,0.9,0.8,0.5,1.0,0.2,0.2,0.6,0.7,0.8,1.0,1.4,220838,11988,151984,195373,194760,188488,162188,8805,137767,7479,133424,8185,6.9,78.2,81.2,80.4,75.2,110.7,109.6,53.1,0.9,0.6,1.2,0.8,0.9,1.5,1.5,1.2,0.9,0.2,0.0,0.6,1.1,0.2,0.3,0.2,221329,12015,152629,195896,195141,189046,162787,8837,137770,7479,133534,8553,7.1,78.2,81.2,80.6,75.6,62.5,70.6,52.8,8.5,8.2,9.2,10.0,8.6,9.2,10.8,10.5,7.9,1.0,0.9,7.5,8.2,0.2,0.3,0.2,235530,12788,163281,210877,207671,201192,175399,9524,146537,7956,141195,11146,10.4,77.9,80.7,86.1,81.3,62.5,70.6,52.8
Mar-1997,1.1,0.8,1.1,1.1,1.1,1.2,1.2,0.9,1.3,0.3,0.4,0.7,0.6,0.3,-0.6,1.2,223210,12084,153593,197444,196997,190693,164064,8882,139607,7558,135499,8648,6.7,78.5,81.6,81.0,75.7,111.1,108.9,53.7,0.1,-0.2,0.0,-0.1,0.1,0.2,-0.1,-0.3,0.8,0.4,0.6,-0.3,-0.6,0.2,0.2,0.2,221480,11990,152572,195622,195348,189372,162673,8807,138892,7519,134829,7857,6.4,78.6,81.7,80.3,75.1,62.7,70.8,52.9,-9.7,-10.0,-10.4,-11.6,-9.7,-9.6,-11.7,-12.0,-9.0,1.0,1.4,-10.6,-11.6,0.2,0.2,-0.3,212742,11513,146379,186403,187504,181867,154845,8380,133390,7219,130253,7207,5.0,78.7,81.9,77.0,71.9,62.7,70.8,52.6
Jun-1997,1.2,1.0,1.3,1.2,1.3,1.3,1.4,1.1,1.7,0.3,0.4,0.9,0.9,-0.3,-0.2,1.2,225923,12201,155665,199856,199609,193261,166311,8981,142001,7668,137935,8646,6.2,78.7,81.9,81.8,76.4,110.7,108.7,54.4,2.8,2.6,2.2,3.1,3.1,2.8,3.1,2.8,2.8,0.5,0.7,2.3,1.5,0.1,-0.1,0.8,227736,12299,155863,201768,201311,194596,167715,9057,142808,7712,138820,9926,6.5,78.9,82.2,82.2,76.2,62.7,70.7,53.3,5.6,5.4,4.4,6.6,6.0,5.6,6.6,6.4,5.9,-0.7,-0.8,6.4,5.3,0.1,-0.1,1.4,224748,12139,152816,198623,198785,192104,165011,8912,141251,7629,136408,7932,3.0,78.2,81.2,81.9,75.7,62.7,70.7,53.4
Sep-1997,1.3,1.1,1.5,1.4,1.3,1.3,1.3,1.0,1.7,0.3,0.5,1.0,1.0,-0.4,1.1,-0.3,228953,12333,157947,202592,202295,195690,168413,9072,144477,7783,140053,8295,5.3,79.0,82.3,82.6,77.1,110.3,109.9,54.2,0.1,-0.2,1.6,-0.1,0.1,0.3,0.0,-0.2,0.8,-0.2,-0.1,0.3,1.7,0.4,0.5,0.0,227928,12278,158294,201511,201438,195112,167786,9038,143945,7754,139800,7703,5.3,78.8,82.1,82.4,77.5,63.0,71.1,53.3,0.8,0.5,3.3,0.7,0.7,0.8,0.9,0.6,1.8,-0.7,-0.4,1.5,3.8,0.4,0.5,-0.2,226453,12199,157885,199961,200141,193721,166509,8970,143803,7747,139249,7015,6.3,77.6,80.8,83.1,78.5,63.0,71.1,53.3
Dec-1997,1.2,0.9,1.2,1.1,1.0,1.1,1.1,0.8,1.3,0.4,0.5,0.7,0.7,-0.1,-1.5,-1.8,231587,12443,159793,204910,204401,197874,170280,9149,146419,7867,141851,8236,4.0,79.3,82.7,83.2,77.6,110.2,108.3,53.3,1.8,1.5,1.1,1.9,1.6,1.4,1.5,1.3,2.1,0.9,0.9,0.9,0.2,0.3,0.5,-0.6,231925,12462,160034,205264,204709,197909,170353,9154,146929,7895,141765,7578,3.9,79.4,82.9,83.2,77.6,63.2,71.4,52.9,7.8,7.5,6.9,9.0,7.7,7.6,8.8,8.6,8.0,2.0,2.0,5.7,4.7,0.3,0.5,-0.6,244109,13120,168708,218040,215459,208391,181207,9739,155372,8350,148820,9221,6.5,79.2,82.5,87.8,82.2,63.2,71.4,53.0
Mar-1998,1.0,0.7,0.9,1.0,0.8,0.9,0.8,0.6,1.1,0.4,0.4,0.6,0.5,-0.9,-0.5,-2.1,233918,12535,161247,206913,205990,199633,171702,9201,148035,7933,143717,8473,3.1,79.7,83.1,83.7,78.0,109.2,107.8,52.1,1.0,0.8,0.5,1.0,0.7,1.0,0.9,0.6,0.8,0.4,0.5,0.6,0.0,0.1,0.4,-1.6,234347,12556,160843,207364,206209,199823,171844,9207,148036,7932,143791,9169,3.0,79.8,83.3,83.7,77.7,63.2,71.7,52.1,-7.4,-7.7,-8.1,-8.8,-7.7,-7.4,-9.1,-9.5,-8.5,0.8,1.0,-8.1,-9.0,0.1,0.4,-1.8,226143,12112,155117,198763,198922,192892,164640,8818,142217,7617,139465,8779,1.8,79.8,83.3,80.7,74.9,63.2,71.7,52.0
Jun-1998,1.3,1.0,1.3,1.3,1.0,1.0,1.0,0.7,1.3,0.3,0.3,0.9,1.1,-0.1,0.3,-1.7,236944,12663,163369,209655,207949,201679,173396,9267,149938,8013,146002,8855,2.5,79.9,83.3,84.4,78.8,109.1,108.1,51.2,0.7,0.5,1.5,0.7,0.6,0.9,1.0,0.7,0.9,0.4,0.1,0.4,1.3,0.4,0.5,-0.4,236069,12617,163241,208729,207545,201718,173525,9274,149328,7981,145703,8883,2.0,80.1,83.4,84.0,78.7,63.5,72.0,51.9,3.3,3.1,3.6,3.7,3.2,3.5,4.0,3.7,4.0,-0.4,-0.9,3.7,4.5,0.4,0.5,-0.1,233564,12484,160703,206105,205379,199559,171150,9148,147954,7908,143453,7083,-1.2,79.5,82.6,83.7,78.2,63.5,72.0,52.0
Sep-1998,1.4,1.1,1.7,1.4,1.0,1.1,1.1,0.8,1.5,0.2,0.1,1.1,1.6,-0.2,0.2,-1.5,240219,12803,166212,212660,210126,203849,175230,9339,152229,8113,148307,8734,1.7,80.1,83.4,85.4,80.1,108.9,108.3,50.5,1.7,1.5,1.7,1.9,1.1,0.7,0.5,0.2,2.2,0.0,-0.2,1.8,1.9,-0.2,0.5,-3.2,240196,12801,165983,212640,209889,203131,174424,9296,152539,8130,148544,8321,2.9,80.1,83.3,85.5,80.2,63.4,72.4,50.2,2.1,1.8,2.9,2.3,1.5,0.8,0.8,0.6,2.6,-1.0,-1.1,3.1,4.1,-0.2,0.5,-3.3,238520,12713,165440,210883,208396,201183,172587,9199,151785,8090,147455,7350,4.3,78.8,81.6,86.3,81.5,63.4,72.4,50.2
Dec-1998,1.3,1.0,1.6,1.3,1.1,1.0,1.0,0.7,1.5,0.3,0.1,1.0,1.5,0.6,0.7,-1.0,243315,12931,168867,215470,212394,205950,177030,9409,154587,8216,150104,8072,0.9,80.4,83.5,86.3,81.3,109.6,109.1,50.0,1.7,1.4,2.1,1.8,1.5,1.8,2.0,1.7,1.4,0.6,0.7,1.1,1.4,0.1,0.3,-1.1,244187,12978,169489,216388,212933,206782,177848,9452,154624,8218,150215,8552,0.1,80.5,83.8,86.4,81.3,63.4,72.6,49.7,7.6,7.3,8.1,8.8,7.3,8.2,9.6,9.4,7.0,1.8,2.3,5.6,5.7,0.1,0.3,-1.3,256565,13639,178776,229389,223695,217766,189233,10059,162452,8636,157880,10637,2.3,80.2,83.5,91.2,86.1,63.4,72.6,49.6
Mar-1999,0.9,0.6,1.0,0.8,0.8,0.8,0.8,0.5,1.1,0.4,0.3,0.5,0.7,-0.7,-1.5,0.0,245400,13004,170633,217195,214132,207623,178393,9454,156358,8286,151273,7285,0.8,80.7,83.8,86.7,81.9,108.9,107.5,50.0,0.5,0.2,0.8,0.3,0.7,0.5,0.5,0.2,1.4,0.3,0.0,0.2,0.8,0.3,0.0,1.1,245308,12999,170767,217101,214374,207831,178696,9470,156824,8310,151737,7511,0.2,80.8,83.8,86.5,81.9,63.6,72.6,50.2,-7.5,-7.8,-7.9,-9.0,-7.3,-7.7,-9.4,-9.7,-6.9,0.8,0.3,-8.2,-8.2,0.3,0.0,1.2,237362,12573,164684,208754,207402,200911,171496,9084,151186,8008,146968,7009,0.1,80.8,83.8,83.7,79.0,63.6,72.6,50.1
Jun-1999,0.7,0.4,0.7,0.6,0.8,0.8,0.8,0.5,1.0,0.7,0.9,-0.1,-0.1,0.3,0.2,0.2,247003,13051,171906,218391,215750,209386,179820,9501,157991,8348,152624,6825,1.2,81.3,84.5,86.6,81.8,109.2,107.7,50.1,0.6,0.3,0.4,0.4,0.5,0.4,0.2,-0.1,0.5,0.4,0.4,0.2,0.0,0.1,0.2,-0.6,246667,13033,171497,218042,215342,208715,179087,9463,157581,8326,151948,6037,2.1,81.1,84.2,86.7,81.9,63.7,72.8,50.0,2.8,2.5,2.5,3.1,2.7,2.8,3.1,2.8,3.3,-0.1,-0.2,2.8,2.8,0.1,0.2,-0.2,243911,12890,168838,215146,213044,206599,176739,9340,156101,8249,150055,4691,-1.2,80.8,83.6,86.0,81.2,63.7,72.8,50.0
Sep-1999,0.9,0.6,0.9,0.9,1.2,1.3,1.3,1.0,1.6,1.0,1.2,0.0,-0.3,0.6,2.3,0.5,249296,13133,173465,220301,218338,212070,182114,9594,160487,8454,155284,7393,1.9,82.0,85.5,86.6,81.5,109.8,110.2,50.4,0.9,0.6,1.1,0.8,1.2,1.5,1.5,1.2,1.6,1.2,1.9,-0.3,-0.8,0.6,0.3,1.3,248891,13111,173357,219867,217839,211771,181811,9577,160084,8433,155004,7566,1.6,82.1,85.8,86.4,81.3,64.1,73.0,50.6,1.3,1.0,2.6,1.3,1.6,1.6,1.8,1.5,2.2,0.7,1.4,0.6,1.2,0.6,0.3,1.2,247134,13020,173299,218020,216352,209816,179968,9481,159524,8404,153813,6903,2.6,81.3,84.8,86.6,82.2,64.1,73.0,50.6
Dec-1999,1.2,0.9,1.2,1.2,1.6,1.7,1.7,1.4,2.1,0.9,1.2,0.3,0.1,-0.2,-2.0,4.3,252381,13255,175633,223048,221847,215591,185227,9728,163813,8604,159056,8892,1.8,82.8,86.5,86.8,81.6,109.6,107.9,52.5,1.5,1.2,1.3,1.6,1.9,1.9,2.1,1.8,2.5,1.4,1.3,0.1,0.1,0.7,0.4,1.8,252648,13269,175649,223329,221935,215895,185577,9747,164019,8614,159193,8698,1.6,83.2,86.9,86.5,81.3,64.5,73.3,51.5,7.3,7.0,5.7,8.5,7.7,8.4,9.7,9.4,6.6,1.8,1.7,5.4,4.0,0.7,0.4,1.9,265178,13931,183262,236501,233009,227346,197441,10372,170108,8936,166625,11273,3.0,82.8,86.2,91.3,85.4,64.5,73.3,51.6
